LIN #,NSN,MPO DESCRIPTION,NSN DESCRIPTION,COMMON NAME,SERIAL,Property Book,Location,MOS,Assigned To,STATUS,SI,NOTES,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,,C,Jered,OUT,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
DA6564 ,846501F901121,ASSAULT BACK PACK 3-DAY,"ASSAULT PACK, LIGHTWEIGHT JUMP PACK",TYR,,YES,C Room,C,,IN,NO,,
,,,,,,,,,,,,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Theo,OUT,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Justin,OUT,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Steve,OUT,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Jered,OUT,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Bret,OUT,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Kam,OUT,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,,C,Noel,IN,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,C Room,C,,IN,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,C Room,C,,IN,NO,,
DA656K,846501C931242,HOLSTER,"HOLSTER: INSIDE THE PANT, RH, GLOCK 19",,,YES,C Room,C,,IN,NO,,
